precision,min runtime (s),max runtime (s),median runtime (s)
0.0001,8.668339217,8.668339217,8.668339217
1.0e-5,9.872943057,9.872943057,9.872943057
1.0e-6,11.101164499000001,11.101164499000001,11.101164499000001
1.0e-7,11.103739078,11.103739078,11.103739078
1.0e-8,12.436947031,12.436947031,12.436947031
1.0e-9,13.828845308,13.828845308,13.828845308
1.0e-10,14.886529009,14.886529009,14.886529009
1.0e-11,14.663230117000001,14.663230117000001,14.663230117000001
1.0e-12,16.273314629,16.273314629,16.273314629
1.0e-15,16.095696046,16.095696046,16.095696046
